transaction_time,amount,direction_raw,category_raw,counterparty,item,counterparty_account,pay_method,status,transaction_id,merchant_order_id,note,platform,source_file,direction
2026-02-28 19:18:48,37.74,支出,日用百货,x***4,【自助下单】麦当劳四件套培根蔬萃巨无霸不素之霸安格斯厚牛堡,159******69,北京银行储蓄卡(3273),交易成功,2026022822001188601409662518	,T200P4502087498030014043	,,alipay,支付宝交易明细(20260228-20260330).csv,expense
2026-03-02 17:24:14,5.0,支出,日用百货,育慧苑超市,线下支付订单26030217241401H422603020181,/,北京银行储蓄卡(3273),交易成功,2026030223001488601411317222	,86126600004836000083620260302382935244	,,alipay,支付宝交易明细(20260228-20260330).csv,expense
2026-03-04 22:57:48,0.0,支出,服饰装扮,南极**1,南极人男士内裤男生冰丝四角短裤衩头纯棉裆平角抗菌透气2026新款,yiw***@163.com,,支付成功,2026030422001188601428610925	,T200P5096139699879870045	,,alipay,支付宝交易明细(20260228-20260330).csv,expense
2026-03-05 12:41:27,5.0,支出,日用百货,育慧苑超市,线下支付订单26030512412101H422603050210,/,北京银行储蓄卡(3273),交易成功,2026030522001488601429691067	,22126600004836000083620260305737154730	,,alipay,支付宝交易明细(20260228-20260330).csv,expense
2026-03-07 16:32:49,5.0,支出,公共服务,北京一卡通,北京一卡通免密代扣,fin***@jieyisoft.com,北京银行储蓄卡(3273),交易成功,2026030722001488601433687301	,D320260307163248460785	,,alipay,支付宝交易明细(20260228-20260330).csv,expense
2026-03-07 17:45:43,10.0,支出,公共服务,北京一卡通,北京一卡通免密代扣,fin***@jieyisoft.com,北京银行储蓄卡(3273),交易成功,2026030722001488601433628918	,D320260307174543488378	,,alipay,支付宝交易明细(20260228-20260330).csv,expense
2026-03-07 21:24:45,10.8,支出,日用百货,t***6,原装一加100W原装数据线一加11/12/13充电线一加ac,187******24,北京银行储蓄卡(3273),交易成功,2026030722001188601439926287	,T200P4502112156035032407	,,alipay,支付宝交易明细(20260228-20260330).csv,expense
2026-03-10 12:09:31,3.0,支出,日用百货,育慧苑超市,线下支付订单26031012093001H422603100709,/,北京银行储蓄卡(3273),交易成功,2026031022001488601445141201	,03126600004836000083620260310706599659	,,alipay,支付宝交易明细(20260228-20260330).csv,expense
2026-03-10 19:58:49,0.6,支出,日用百货,x***7,查单删清理僵死粉测单删清粉免打扰检测拉黑,176***@qq.com,北京银行储蓄卡(3273),交易成功,2026031022001188601451784408	,T200P4502121087001023225	,,alipay,支付宝交易明细(20260228-20260330).csv,expense
2026-03-10 20:33:51,9.9,支出,生活服务,tb**2,百度云网盘提取码服务【提取码】1H9,155******96,北京银行储蓄卡(3273),交易成功,2026031022001188601451830469	,T200P4502109168142014043	,,alipay,支付宝交易明细(20260228-20260330).csv,expense
2026-03-11 00:09:38,1.0,支出,日用百货,狮露**店,狮露洁除螨洁净香氛洗衣液深层洁净强效去渍香味持久留香优惠装,z13***@126.com,北京银行储蓄卡(3273),支付成功,2026031122001188601452220753	,T200P4502119501144032407	,,alipay,支付宝交易明细(20260228-20260330).csv,expense
2026-03-11 22:25:08,3.0,支出,日用百货,x***8,吃鸡改名卡 3元一张,315***@qq.com,北京银行储蓄卡(3273),交易成功,2026031122001188601455849181	,T200P4502124902176023225	,,alipay,支付宝交易明细(20260228-20260330).csv,expense
2026-03-11 22:27:25,0.1,支出,日用百货,t***5,吃鸡改名卡 1.9元一张,865***@qq.com,北京银行储蓄卡(3273),支付成功,2026031122001188601453855544	,T200P4502112444158023225	,,alipay,支付宝交易明细(20260228-20260330).csv,expense
2026-03-12 14:56:49,0.86,支出,日用百货,s***4,【AI助力】哔哩哔哩6级硬核会员试炼代过,138******98,北京银行储蓄卡(3273),交易成功,2026031222001188601458236655	,T200P4502111004168023225	,,alipay,支付宝交易明细(20260228-20260330).csv,expense
2026-03-12 17:01:17,800.0,支出,教育培训,北京联合大学,校园一卡通尾号(1036)充值,zfb***@buu.edu.cn,北京银行储蓄卡(3273),交易成功,2026031222001488601459392895	,202603120000001210938285	,,alipay,支付宝交易明细(20260228-20260330).csv,expense
2026-03-12 22:25:43,0.2,不计收支,退款,淋***x,退款-吃鸡改名卡 2元一张,153******26,余额宝,退款成功,2026031122001188601453692204_4502108091176023225	,T200P4502108091176023225	,,alipay,支付宝交易明细(20260228-20260330).csv,neutral
2026-03-13 13:34:56,7.4,支出,日用百货,育慧苑超市,线下支付订单26031313345501H472603130358,/,北京银行储蓄卡(3273)&碰友日立减,交易成功,2026031322001488601458441620	,68126600004836000083620260313949637871	,,alipay,支付宝交易明细(20260228-20260330).csv,expense
2026-03-14 12:41:56,3.1,支出,日用百货,育慧苑超市,线下支付订单26031412415401H422603140330,/,北京银行储蓄卡(3273),交易成功,2026031422001488601400390839	,51126600004836000083620260314632533929	,,alipay,支付宝交易明细(20260228-20260330).csv,expense
2026-03-15 16:40:12,35.1,支出,服饰装扮,南极**1,南极人男士内裤男生冰丝四角短裤衩头纯棉裆平角抗菌透气2026新款,yiw***@163.com,北京银行储蓄卡(3273),支付成功,20260315300000016788601205838334	,T200P5096139699879870045	,,alipay,支付宝交易明细(20260228-20260330).csv,expense
2026-03-15 20:23:15,5.0,支出,生活服务,U净,U净洗烘,wux***@midea.com.cn,北京银行储蓄卡(3273),交易成功,2026031523001488601411440062	,9088202603152023142143731	,,alipay,支付宝交易明细(20260228-20260330).csv,expense
2026-03-16 21:46:17,4.0,支出,日用百货,育慧苑超市,线下支付订单26031621461601H422603162707,/,北京银行储蓄卡(3273),交易成功,2026031622001488601418542238	,60126600004836000083620260316702644581	,,alipay,支付宝交易明细(20260228-20260330).csv,expense
2026-03-17 17:59:56,2.8,支出,日用百货,育慧苑超市,线下支付订单26031717595501H422603171886,/,北京银行储蓄卡(3273),交易成功,2026031722001488601419524419	,61126600004836000083620260317388947642	,,alipay,支付宝交易明细(20260228-20260330).csv,expense
2026-03-18 16:18:09,59.9,支出,日用百货,z***2,麦当劳 BFF四宫格麦辣板烧双人餐【八件套】麦辣鸡腿堡板烧鸡,619***@qq.com,北京银行储蓄卡(3273),交易成功,2026031822001188601422249050	,T200P4502174653047014043	,,alipay,支付宝交易明细(20260228-20260330).csv,expense
2026-03-19 22:14:00,0.28,支出,日用百货,x***5,【深度学习绘图模板】PPT+Visio｜模型结构图一键编辑｜,hbb***@163.com,北京银行储蓄卡(3273),交易成功,2026031922001188601429237226	,T200P4502188803002014043	,,alipay,支付宝交易明细(20260228-20260330).csv,expense
2026-03-20 14:53:11,1.0,支出,日用百货,育慧苑超市,线下支付订单26032014531101H422603201020,/,北京银行储蓄卡(3273)&碰一下立减,交易成功,2026032022001488601432040050	,78126600004836000083620260320327963747	,,alipay,支付宝交易明细(20260228-20260330).csv,expense
2026-03-20 15:21:49,17.0,支出,教育培训,教育部教育考试院,第261考次CET考试费,zhi***@mail.neea.edu.cn,北京银行储蓄卡(3273),交易成功,2026032022001488601431413874	,CET-2026032015-8414604511	,,alipay,支付宝交易明细(20260228-20260330).csv,expense
2026-03-20 20:05:43,2.9,支出,日用百货,育慧苑超市,线下支付订单26032020054301H422603201829,/,北京银行储蓄卡(3273),交易成功,2026032022001488601432041665	,48126600004836000083620260320626179403	,,alipay,支付宝交易明细(20260228-20260330).csv,expense
2026-03-21 11:30:30,43.31,支出,日用百货,狮露**店,狮露洁除螨洁净香氛洗衣液深层洁净强效去渍香味持久留香优惠装,z13***@126.com,北京银行储蓄卡(3273),支付成功,20260321300000014788601248299497	,T200P4502119501144032407	,,alipay,支付宝交易明细(20260228-20260330).csv,expense
2026-03-23 00:09:13,12.9,支出,商户消费,24H智能售货,先购后付,,零钱,支付成功,4200003088202603235354027036,vE60589AzCQaGXvLvDgVPzxxxxjDKF7x,/,wechat,微信支付账单流水文件(20260323-20260330)_20260330143056.xlsx,expense
2026-03-23 02:06:03,6.5,支出,商户消费,24H智能售货,先购后付,,零钱,支付成功,4200003078202603238507202122,TPsZbOipWr4F1k7qePS5fxxxxxqc78Xx,/,wechat,微信支付账单流水文件(20260323-20260330)_20260330143056.xlsx,expense
2026-03-23 11:51:51,15.0,支出,日用百货,e***m,Copilot Opus 15元/月,jac***@163.com,北京银行储蓄卡(3273),等待确认收货,2026032322001188601441392692	,T200P4502198053160014043	,,alipay,支付宝交易明细(20260228-20260330).csv,expense
2026-03-23 16:23:04,56.48,支出,日用百货,车***证,GitHubCopilotPro学生账号,323***@qq.com,招商银行储蓄卡(3159)&招商银行立减金,交易成功,2026032322001188601444031165	,T200P4502189235155014043	,,alipay,支付宝交易明细(20260228-20260330).csv,expense
2026-03-23 18:43:04,32.39,支出,餐饮美食,绝味鸭脖(北四环东路店),<绝味支付>,cwz***@juewei.cn,北京银行储蓄卡(3273),交易成功,2026032323001488601439540072	,H2603231839061225970076663981	,,alipay,支付宝交易明细(20260228-20260330).csv,expense
2026-03-23 20:05:18,18.8,支出,餐饮美食,晋河食品（北京）有限公司,北京朝阳伊藤洋华堂店,/,北京银行储蓄卡(3273)&碰一下立减,交易成功,2026032323001488601445952119	,522019011062861739002126032320051897542419	,,alipay,支付宝交易明细(20260228-20260330).csv,expense
2026-03-23 20:20:28,53.0,支出,转账,Y.,转账备注:微信转账,,零钱,对方已收钱,53010002510089202603231806734087,1000050001202603231338397127529,/,wechat,微信支付账单流水文件(20260323-20260330)_20260330143056.xlsx,expense
2026-03-24 21:53:02,24.0,支出,商户消费,祁小小的小面（小营路店）,美团/大众点评点餐订单-03244719807128768674260,,零钱,支付成功,4200003083202603249976667278,0461368606463337428208041,/,wechat,微信支付账单流水文件(20260323-20260330)_20260330143056.xlsx,expense
2026-03-24 22:14:24,5.0,支出,商户消费,侯记烤炉鸡蛋灌饼,商户_李琳 - 扫码支付,,零钱,支付成功,4200003025202603248709249849,9177436165929355414334247,/,wechat,微信支付账单流水文件(20260323-20260330)_20260330143056.xlsx,expense
2026-03-25 00:51:37,14.9,支出,商户消费,24H智能售货,先购后付,,零钱,支付成功,4200003059202603252646158943,SZlZ9o2keOMA64ui3xRBqCxxxxjcvRJx,/,wechat,微信支付账单流水文件(20260323-20260330)_20260330143056.xlsx,expense
2026-03-25 08:22:02,5.88,支出,日用百货,x***6,和平精英灵敏度 吃鸡灵敏度 键位设置 按键设置 二指三指四指,181******43,北京银行储蓄卡(3273),交易成功,2026032522001188601449031428	,T200P4502201439019014043	,,alipay,支付宝交易明细(20260228-20260330).csv,expense
2026-03-25 08:52:00,4.99,支出,商户消费,元气空间北京,先购后付,,零钱,支付成功,4200002984202603259892378856,VqV1cUDxEV79F4AR9mhlkxxxxxjYFz7x,/,wechat,微信支付账单流水文件(20260323-20260330)_20260330143056.xlsx,expense
2026-03-25 12:00:00,50.0,支出,餐饮,路边摊,午饭煎饼果子,,,,,,,manual,manual_record.csv,expense
2026-03-25 20:05:05,14.9,支出,商户消费,米村拌饭,北京39店（洋华堂亚运村店）,,招商银行储蓄卡(3159),支付成功,4200003049202603250277684532,159879789011626032520045804899,已优惠¥1.00,wechat,微信支付账单流水文件(20260323-20260330)_20260330143056.xlsx,expense
2026-03-25 22:23:25,5.0,支出,生活服务,U净,U净洗烘,wux***@midea.com.cn,北京银行储蓄卡(3273),交易成功,2026032523001488601451851439	,9088202603252223252374829	,,alipay,支付宝交易明细(20260228-20260330).csv,expense
2026-03-26 00:49:35,4.0,支出,商户消费,24H智能售货,先购后付,,零钱,支付成功,4200003010202603268577860595,81BnGN94SspKwbgcUXwPTCxxxxPGPxZx,/,wechat,微信支付账单流水文件(20260323-20260330)_20260330143056.xlsx,expense
2026-03-26 10:30:00,200.0,收入,其他,老妈,现金生活费,,,,,,,manual,manual_record.csv,income
2026-03-26 12:58:55,1.3,支出,日用百货,育慧苑超市,线下支付订单26032612585401H422603261064,/,北京银行储蓄卡(3273)&碰一下立减,交易成功,2026032622001488601450460267	,47126600004836000083620260326956846515	,,alipay,支付宝交易明细(20260228-20260330).csv,expense
2026-03-26 20:24:55,7.1,支出,日用百货,育慧苑超市,线下支付订单26032620245501H422603262799,/,北京银行储蓄卡(3273),交易成功,2026032622001488601459908715	,13126600004836000083620260326617633443	,,alipay,支付宝交易明细(20260228-20260330).csv,expense
2026-03-26 20:41:58,10.8,支出,日用百货,育慧苑超市,线下支付订单26032620415801H422603262854,/,北京银行储蓄卡(3273),交易成功,2026032623001488601459117452	,71126600004836000083620260326749706842	,,alipay,支付宝交易明细(20260228-20260330).csv,expense
2026-03-27 08:50:21,5.0,支出,商户消费,北京欣达时代科技有限责任公司,先购后付,,零钱,支付成功,4200003062202603273919460074,QCbUJzXXLYP8IPgBAcb1hzxxxxxslF7x,/,wechat,微信支付账单流水文件(20260323-20260330)_20260330143056.xlsx,expense
2026-03-27 21:42:32,36.6,支出,商户消费,肯德基,KFC_PREWX10012612777042930655514,,招商银行储蓄卡(3159),支付成功,4500000143202603272319526894,WX10012612777042930655514,已优惠¥0.30,wechat,微信支付账单流水文件(20260323-20260330)_20260330143056.xlsx,expense
2026-03-27 21:57:42,3.0,支出,扫二维码付款,静曼曼,收款方备注:二维码收款,,招商银行储蓄卡(3159),已转账,53110001383091202603270615417241,10001073012026032701736398519527,/,wechat,微信支付账单流水文件(20260323-20260330)_20260330143056.xlsx,expense
2026-03-28 14:13:51,5.0,支出,生活服务,U净,U净洗烘,wux***@midea.com.cn,北京银行储蓄卡(3273),交易成功,2026032822001488601407277297	,9088202603281413511030373	,,alipay,支付宝交易明细(20260228-20260330).csv,expense
2026-03-28 14:45:27,4.0,支出,日用百货,育慧苑超市,线下支付订单26032814452601H422603280858,/,北京银行储蓄卡(3273)&碰一下立减,交易成功,2026032822001488601407282385	,05126600004836000083620260328642948622	,,alipay,支付宝交易明细(20260228-20260330).csv,expense
2026-03-28 15:00:00,15.0,支出,交通,公交车,现金刷卡,,,,,,,manual,manual_record.csv,expense
2026-03-28 15:18:59,4.28,支出,商户消费,成都桦浩清,《七》电商订单号2026032815182625406售后请联系网站客服处理！,,招商银行储蓄卡(3159),支付成功,4200003057202603285363555933,26032815182704000520566,/,wechat,微信支付账单流水文件(20260323-20260330)_20260330143056.xlsx,expense
2026-03-28 21:52:02,10.0,支出,商户消费,侯记烤炉鸡蛋灌饼,商户_李琳 - 扫码支付,,招商银行储蓄卡(3159),支付成功,4200003108202603281614309859,9177470591697172344727856,/,wechat,微信支付账单流水文件(20260323-20260330)_20260330143056.xlsx,expense
2026-03-29 02:04:06,6.0,支出,商户消费,24H智能售货,先购后付,,零钱,支付成功,4200003131202603298535419902,3HL2yn5j2EPrgZLvvBs5cxxxxxxq1j0x,/,wechat,微信支付账单流水文件(20260323-20260330)_20260330143056.xlsx,expense
2026-03-29 02:42:45,4.0,支出,商户消费,24H智能售货,先购后付,,零钱,支付成功,4200003051202603296966604194,4kSsxhsCoi1WBk2QWMsyi7xxxxxs_CCx,/,wechat,微信支付账单流水文件(20260323-20260330)_20260330143056.xlsx,expense
2026-03-29 13:47:18,3.0,支出,商户消费,蜜雪冰城,蜜雪冰城919718店,,零钱,支付成功,4200003099202603290112367009,20260329MMe36c3v,/,wechat,微信支付账单流水文件(20260323-20260330)_20260330143056.xlsx,expense
2026-03-29 14:59:39,3.0,支出,商户消费,蜜雪冰城,蜜雪冰城919718店,,零钱,支付成功,4200003045202603299940539924,20260329MMe6pb8v,/,wechat,微信支付账单流水文件(20260323-20260330)_20260330143056.xlsx,expense
2026-03-29 15:13:11,5.5,支出,公共服务,北京一卡通,北京一卡通免密代扣,fin***@jieyisoft.com,北京银行储蓄卡(3273),交易成功,2026032923001488601408855997	,D320260329151311108465	,,alipay,支付宝交易明细(20260228-20260330).csv,expense
2026-03-29 15:58:37,0.5,支出,公共服务,北京一卡通,北京一卡通免密代扣,fin***@jieyisoft.com,北京银行储蓄卡(3273),交易成功,2026032923001488601408720357	,D320260329155837129850	,,alipay,支付宝交易明细(20260228-20260330).csv,expense
2026-03-29 17:01:57,4.0,支出,公共服务,北京一卡通,北京一卡通免密代扣,fin***@jieyisoft.com,北京银行储蓄卡(3273),交易成功,2026032922001488601411128520	,D320260329170157156861	,,alipay,支付宝交易明细(20260228-20260330).csv,expense
2026-03-29 17:18:31,2.0,支出,餐饮美食,阿芮烤鸡爪(北京),阿芮烤鸡爪(望京凯德店)_10021002603291718310495040826328_C2038183509662625816NAKE,/,北京银行储蓄卡(3273),交易成功,2026032923001488601410934339	,36126600004928000010031102603291718310995040821245	,,alipay,支付宝交易明细(20260228-20260330).csv,expense
2026-03-29 17:21:02,26.0,支出,商户消费,和府捞面,和府北京望京凯德店,,招商银行储蓄卡(3159),支付成功,4500000134202603298570867981,826032903741659,/,wechat,微信支付账单流水文件(20260323-20260330)_20260330143056.xlsx,expense
2026-03-29 18:35:57,0.5,支出,公共服务,北京一卡通,北京一卡通免密代扣,fin***@jieyisoft.com,北京银行储蓄卡(3273),交易成功,2026032922001488601412541974	,D320260329183557189904	,,alipay,支付宝交易明细(20260228-20260330).csv,expense
2026-03-30 00:49:32,4.0,支出,商户消费,24H智能售货,先购后付,,零钱,支付成功,4200003068202603307950453449,pCQPwS-3dSoNOO09E4CavzxxxxPh6sJx,/,wechat,微信支付账单流水文件(20260323-20260330)_20260330143056.xlsx,expense
